,2017q1fphdsl,2017q1jxje,2017q1jxsl,2017q1kpje,2017q1kps,2017q1kpse,2017q1kpsl,2017q1rkse,2017q2fphdsl,2017q2jxje,2017q2jxsl,2017q2kpje,2017q2kps,2017q2kpse,2017q2kpsl,2017q2rkse,2017q3fphdsl,2017q3jxje,2017q3jxsl,2017q3kpje,2017q3kps,2017q3kpse,2017q3kpsl,2017q3rkse,2017q4fphdsl,2017q4jxje,2017q4jxsl,2017q4kpje,2017q4kps,2017q4kpse,2017q4kpsl,2017q4rkse,2018q1fphdsl,2018q1jxje,2018q1jxsl,2018q1kpje,2018q1kps,2018q1kpse,2018q1kpsl,2018q1rkse,2018q2fphdsl,2018q2jxje,2018q2jxsl,2018q2kpje,2018q2kps,2018q2kpse,2018q2kpsl,2018q2rkse,2018q3fphdsl,2018q3jxje,2018q3jxsl,2018q3kpje,2018q3kps,2018q3kpse,2018q3kpsl,2018q3rkse,2018q4fphdsl,2018q4jxje,2018q4jxsl,2018q4kpje,2018q4kps,2018q4kpse,2018q4kpsl,2018q4rkse,2019q1fphdsl,2019q1jxje,2019q1jxsl,2019q1kpje,2019q1kps,2019q1kpse,2019q1kpsl,2019q1rkse,2019q2fphdsl,2019q2jxje,2019q2jxsl,2019q2kpje,2019q2kps,2019q2kpse,2019q2kpsl,2019q2rkse,2019q3fphdsl,2019q3jxje,2019q3jxsl,2019q3kpje,2019q3kps,2019q3kpse,2019q3kpsl,2019q3rkse,2019q4fphdsl,2019q4jxje,2019q4jxsl,2019q4kpje,2019q4kps,2019q4kpse,2019q4kpsl,2019q4rkse,bsrxm,bsrxmmp,cyrs,djrq,fdbrxmp,fddbrxm,hy,hydl,hyml,hyzl,jyfw,nsrmc,scjydz,xzjd,zcdz,zczb,zjnsrsbh,yc
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13487cf41f8058c8418ddbe8b7819cf3,19efd8fd42cbd5a0b90f49bcd1188803,3,2018/9/27,16c3baf5f66baa5163edb040865e9cf9,b157104d2d4ee664e668ace02e29c827,其他未列明批发业,批发业,批发和零售业,其他批发业,金属材料、建筑材料、销售。,533fce07a7c404168c3c59f7d67ff6fa,e60f662373bdaad75fdda5fa06c6fda7,e028503d098b7985a124c345ad807401,e60f662373bdaad75fdda5fa06c6fda7,5000000,cbd3fe8ef3d01984761378c92a55be35,0
1,0,0,0,0,0,0,0,0,86,81338470.64,0.11,5906757.24,60,177202.72,0.03,363.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,89276916.76,0.11,5623615.37,57,337416.92,0.06,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,2018/6/24,a3d2de7675556553a5f08e4c88d2c228,a895e0f9e0d026c27dcad1831f54bf34,其他群众团体,群众团体、社会团体和其他成员组织,公共管理、社会保障和社会组织,群众团体,,e3721396c2e14087d8d693d3e80be078,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,47c171b71c250739ad9eb5c6bba7e082,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,286653934.7,0.06,9657941.22,97,579476.47,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,2016/8/20,a3d2de7675556553a5f08e4c88d2c228,a895e0f9e0d026c27dcad1831f54bf34,中国共产党机关,中国共产党机关,公共管理、社会保障和社会组织,中国共产党机关,,32a77840022dbbee9263b7bbafa7d9b1,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,21dafb33f918f66f922174d9e16e0c24,1
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,81728250.37,0.11,8016244.73,81,240487.34,0.03,0,82,504637209.4,0.017,5905818.25,60,100398.91,0.017,328.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4f63fb78de45e89806d07cc7714aeda2,b002900807d26f4380324e8b2aefd4c6,6,2016/9/6,33ab59fa78a9ffa34147922bece4ff39,1a9154c9862a35633ecd0fadaa69887d,五金产品批发,批发业,批发和零售业,机械设备、五金产品及电子产品批发,机电厂品，轴承，机电产品，五金工具，电器设备，金属材料（除贵金属），一般劳保用品，五金，电动工具,a7e573545ff2c8f043d2ad07197ee3b9,abd16a5915e10d7a987840b4f4dd2c3f,829b9700d7927fafe3495b38742a43e6,abd16a5915e10d7a987840b4f4dd2c3f,500000,584b439972ea4db3bc7f95f83ada915e,1
4,0,0,0,0,0,0,0,0,26,41825009.17,0.11,3601588.04,37,61227,0.017,0,50,269638355.1,0.017,3819281.71,39,114578.45,0.03,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,2018/7/9,a3d2de7675556553a5f08e4c88d2c228,148b06fedfbf7a7afba8f9d86d39f887,其他建筑安装业,建筑安装业,建筑业,其他建筑安装业,,d950178c13c4a8f7d67472e4fed58108,a3d2de7675556553a5f08e4c88d2c228,dd1ba9f938a3747a2030a247c76273d5,a3d2de7675556553a5f08e4c88d2c228,,d8f760362a17b0dbdd809c16a7167727,1
5,0,0,0,0,0,0,0,0,59,3589574.73,0.06,4451663.34,45,75678.28,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9ace867322ffc803f1b56fff96824ee7,0c231966eefc858c1fdc4e1ca6dbc640,8,2018/1/29,0c231966eefc858c1fdc4e1ca6dbc640,9ace867322ffc803f1b56fff96824ee7,船用配套设备制造,铁路、船舶、航空航天和其他运输设备制造业,制造业,船舶及相关装置制造,船舶结构件装焊加工,a6eb56955e767e80800f37433f8e86f3,06d5fdb09a335f1b17802659f75d4e7a,1d24db6d16c1cdd0f0aabfe7d889a0f0,de44312322e16eda554e4ea2c757ef0a,30000,58bc7b97bb39cc4f505744f46b426a59,0
6,169,9502231.98,0.017,9613695.72,97,163432.83,0.017,1894.88,20,943960.96,0.03,1130277.73,12,124330.55,0.11,124330.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,3706838.48,0.11,7120025.13,72,121040.43,0.017,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,321facd8e02a4de8251830a08f7ca8d7,7749542dcaa36c9ec75b0a79c3566116,2,2017/8/1,a3d2de7675556553a5f08e4c88d2c228,195b48e2136b98c344bb40963b55776c,公路工程建筑,土木工程建筑业,建筑业,铁路、道路、隧道和桥梁工程建筑,建筑幕墙工程、房屋建筑工程、钢结构工程、建筑门窗工程、市政工程、土石方工程、公路工程、园林绿化工程、园林景观工程、机电设备工程、消防设施工程、防腐保温工程、建筑防水工程、水电安装工程、室内外装饰工程、城市亮化工程的设计与施工，旋转门、岗亭、护栏、广告牌、标识标牌、灯箱设计、制作、销售，门禁考勤系统、建筑智能化系统、楼宇对讲系统、监控系统设计、安装，玻璃制品、不锈钢制品、建筑材料、装饰材料、金属材料（除贵金属）、广告材料、电脑及耗材销售，广告设计、制作、代理、发布，企业形象策划，市场营销策划，网站建设、维护，LED显示屏设计、安装。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,c95a539fb6e06a5ebf7d06476fd1a8b9,0c5b2fe1b3cb123bdffc705ca5b7318b,829b9700d7927fafe3495b38742a43e6,0c5b2fe1b3cb123bdffc705ca5b7318b,6000000,c88106426abfd44138f24970b2072b9c,0
7,0,0,0,0,0,0,0,0,115,4200727.75,0.06,7727138,78,131361.35,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3628072.65,0.06,4021182.69,41,241270.96,0.06,23586.6,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c61134a9a572c8a0dc2c1e6cad4aed33,ee156db18353bf8e8db847ab899759b2,20,2018/4/6,6a9c9f1c7c4dda3e72a0eabca0f2c78a,4b2ab3fec739d79947ad64e651ad44ad,贸易代理,批发业,批发和零售业,贸易经纪与代理,自营和代理各类商品和技术进出口业务.,c1badf2d22723e44dd34ea3e2684c33f,c3dce6be5d1ff5f3add5109c393f6651,c6030ef51faf563882a4bf0b577ee8f4,c3dce6be5d1ff5f3add5109c393f6651,1000000,14d6bd2b6e157ecabe75b6ec204fd8cf,0
8,61,45861575.32,0.11,3671756.72,37,110152.7,0.03,0,0,0,0,0,0,0,0,0,129,87365396.64,0.11,8043341.33,81,241300.24,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c8ef196d10584fd668b2b2facac5cbd6,29a2c77075dffeeaf16241fcaf5b4681,3,2017/10/21,29a2c77075dffeeaf16241fcaf5b4681,c8ef196d10584fd668b2b2facac5cbd6,其他未列明信息技术服务业,软件和信息技术服务业,信息传输、软件和信息技术服务业,其他信息技术服务业,网络技术开发，网站建设与维护，劳务信息咨询，商务信息咨询（以上项目涉及前置许可的除外），校园宣传片拍摄、制作（依法须经批准的项目，经相关部门批准后方可开展经营活动），日用品、文化用品、旅游用品销售，特色旅游线路设计、开发，广告设计、制作与发布。,94d6334e194f6ddc566ec15fbeea40aa,d5a0fb017e9e4e6cd5d09d4933def09f,829b9700d7927fafe3495b38742a43e6,d5a0fb017e9e4e6cd5d09d4933def09f,500000,e7324f98df5b807fec687bb216b3dd02,1
9,102,6528340.65,0.017,7331175.57,74,806429.31,0.11,695447.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404b51883c1e281666f2697fd113ff31,a2855c679b2fd35e1e0d2abcd6f59cdc,2,2018/11/2,744875c0c6adab4a2c9319b352750009,5e2b51cadf0ebeae3ca86429474aadf2,汽车零配件零售,零售业,批发和零售业,汽车、摩托车、燃料及零配件专门零售,汽车销售，代办保险申请手续、汽车维修、保养、二手车、机电设备销售，汽车信息咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,15b9852f79becf47debe5e32e92febdb,5d443f0a18a5454b295bda1d9d4b5bba,829b9700d7927fafe3495b38742a43e6,5d443f0a18a5454b295bda1d9d4b5bba,500000,7309b36dce73c1611be1b0e5b08040bc,0
