lat,lng,time
103.806342,35.830415,2021-03-26 02:39:14
103.823400,35.768967,2021-02-04 16:02:17
103.536290,35.746435,2021-01-08 15:47:42
103.533786,36.476000,2021-04-21 11:28:16
103.588859,36.097744,2021-03-15 12:30:36
103.679115,36.357476,2021-02-01 23:14:01
103.723707,36.061868,2021-04-06 21:26:33
103.483980,35.913061,2021-01-20 17:56:49
103.382990,35.773690,2021-01-30 07:38:18
103.499297,35.762280,2021-02-04 04:53:18
103.545775,35.969422,2021-02-20 00:32:55
103.812113,35.731630,2021-02-27 05:49:21
103.176791,36.116443,2021-03-04 19:56:19
103.097133,36.148277,2021-04-30 16:01:05
103.885661,35.854983,2021-01-22 19:15:08
103.258766,36.120793,2021-02-24 09:42:28
103.372651,35.666684,2021-01-05 09:26:17
103.887189,35.881657,2021-05-02 10:54:11
103.738806,35.882032,2021-02-17 23:36:22
103.170258,35.828812,2021-03-03 17:48:02
103.406859,35.705882,2021-03-28 01:58:19
103.557224,36.409688,2021-05-02 11:03:08
103.571949,35.839450,2021-02-28 07:56:59
103.534851,36.445329,2021-01-28 06:25:15
103.865405,36.004179,2021-02-28 04:10:41
103.855611,35.808348,2021-02-08 18:26:28
103.729325,36.374498,2021-04-05 22:02:29
103.439159,36.178087,2021-04-13 13:05:27
103.419571,36.202709,2021-01-23 11:06:12
103.398528,36.150181,2021-02-24 02:42:00
103.135378,35.826394,2021-01-07 05:02:42
103.325864,36.343897,2021-03-12 02:27:58
103.262277,35.851413,2021-03-07 01:46:28
103.455155,35.812143,2021-01-03 02:27:42
103.631588,36.196568,2021-03-30 20:30:22
103.397562,35.994483,2021-02-08 10:42:50
103.406602,36.380528,2021-05-03 08:37:41
103.403342,36.424114,2021-04-14 10:03:49
103.225577,36.025846,2021-01-12 20:59:21
103.703850,35.786353,2021-01-17 18:47:56
103.822322,35.785884,2021-02-14 00:17:35
103.684718,36.332132,2021-02-05 10:47:39
103.649000,36.116651,2021-01-25 04:53:26
103.415038,36.033912,2021-05-01 07:03:33
103.638347,35.821029,2021-04-07 18:10:41
103.535943,36.391317,2021-04-21 17:17:02
103.895557,35.930825,2021-04-08 01:22:37
103.429285,36.306269,2021-03-07 07:17:32
103.592192,36.233724,2021-04-05 09:13:37
103.760252,36.091437,2021-04-07 15:40:38
103.131550,36.115213,2021-01-09 16:10:06
103.674790,35.765226,2021-04-01 11:49:02
103.333506,35.952068,2021-01-14 17:13:43
103.657784,35.987239,2021-04-04 10:16:23
103.803165,35.853864,2021-01-27 04:48:26
103.375702,36.295502,2021-03-20 09:00:16
103.821188,36.149988,2021-04-16 01:44:50
103.144011,36.113904,2021-04-29 02:30:48
103.103619,35.924629,2021-01-26 04:42:47
103.336446,36.285170,2021-03-26 04:44:17
103.257702,36.358058,2021-05-04 06:15:39
103.551864,36.375216,2021-04-26 18:50:07
103.561118,36.057661,2021-02-16 10:21:10
103.745281,36.207252,2021-01-16 05:22:51
103.336893,36.147256,2021-03-06 00:17:01
103.390518,35.621855,2021-01-11 23:53:43
103.172174,35.949750,2021-03-24 22:49:53
103.195251,36.195037,2021-04-18 07:12:16
103.537922,35.801024,2021-04-22 07:26:30
103.222104,35.968971,2021-03-21 02:26:25
103.544748,35.764490,2021-01-17 11:40:05
103.520418,36.346414,2021-04-01 05:31:25
103.216528,36.051126,2021-03-14 18:47:49
103.323485,36.200119,2021-04-29 19:57:27
103.398450,36.178706,2021-05-05 15:42:29
103.179823,36.155520,2021-04-09 05:05:05
103.707944,36.374451,2021-04-28 01:25:46
103.637925,35.833879,2021-04-04 18:33:29
103.916281,35.949621,2021-03-31 01:07:57
103.352571,35.881370,2021-01-15 05:11:26
103.474287,35.646076,2021-01-13 11:55:56
103.539160,35.677337,2021-05-05 12:21:35
103.451179,36.325664,2021-04-26 21:41:44
103.344685,36.343209,2021-05-02 16:39:30
103.643082,35.917978,2021-02-27 02:15:07
103.693170,36.259549,2021-04-15 03:53:55
103.528802,35.755192,2021-02-11 22:45:14
103.485710,36.069726,2021-01-15 15:12:07
103.414440,36.327844,2021-02-19 05:50:34
103.833977,35.979676,2021-01-01 04:24:11
103.453599,35.938437,2021-04-19 05:30:19
103.372579,36.371513,2021-03-22 20:19:53
103.496831,36.056636,2021-03-10 17:07:50
103.378671,36.359189,2021-02-05 16:44:37
103.300178,36.077919,2021-02-05 19:13:30
103.287713,35.904277,2021-04-30 09:38:09
103.597314,36.113662,2021-02-25 06:23:29
103.334743,35.983332,2021-04-10 05:25:05
103.807834,35.890828,2021-02-06 11:05:51
103.375381,35.781746,2021-04-16 03:07:38
103.626449,35.814246,2021-04-04 01:58:22
103.609303,36.342688,2021-04-24 13:03:31
103.479797,35.640620,2021-01-28 18:03:49
103.155882,36.125393,2021-02-05 10:43:05
103.840650,36.287294,2021-04-10 20:35:32
103.193275,36.081014,2021-01-18 05:55:53
103.490835,35.765095,2021-01-12 18:32:47
103.595273,35.734092,2021-01-01 15:07:38
103.330121,36.200345,2021-01-29 10:06:44
103.560297,36.304191,2021-03-14 08:51:16
103.152309,35.874904,2021-03-10 03:43:30
103.744056,35.942110,2021-03-28 23:07:15
103.319776,36.190947,2021-04-11 16:45:57
103.085608,36.170685,2021-02-19 18:59:27
103.886340,35.987902,2021-02-03 13:05:38
103.250132,36.020158,2021-04-02 10:04:45
103.207886,35.902140,2021-05-06 04:23:33
103.700991,36.371316,2021-04-27 11:30:48
103.326640,36.339183,2021-05-03 21:09:18
103.649333,36.216069,2021-03-11 14:10:41
103.181566,35.879762,2021-03-23 17:07:04
103.457014,36.320611,2021-05-05 08:41:30
103.586581,35.805607,2021-04-26 09:02:27
103.764197,36.239183,2021-02-16 13:42:20
103.118026,36.160201,2021-05-03 01:38:03
103.416991,35.997387,2021-04-10 01:30:23
103.498341,36.306935,2021-04-16 01:22:16
103.406931,35.829465,2021-05-06 13:34:00
103.811993,36.306007,2021-01-16 04:34:30
103.310609,36.192272,2021-01-26 23:14:58
103.199991,35.772433,2021-02-25 16:02:44
103.769518,35.733312,2021-04-17 17:20:05
103.395445,36.041289,2021-02-27 14:34:02
103.162098,36.274605,2021-01-22 07:09:36
103.345307,36.243025,2021-04-21 07:37:35
103.213173,36.344111,2021-01-06 22:39:52
103.873571,35.951430,2021-04-24 00:23:56
103.528161,35.894423,2021-03-10 03:02:29
103.634521,35.717173,2021-01-28 17:51:20
103.471383,35.589836,2021-02-06 05:25:20
103.504462,35.604641,2021-02-22 17:23:31
103.867333,35.972831,2021-01-05 22:21:05
103.720894,35.696871,2021-03-14 02:09:38
