主键:纳税人识别号,纳税人名称,行业门类,行业大类,行业中类,行业,注册地址,生产经营地址,法定代表人姓名,登记开业日期,街道乡镇,经营范围,注册资本（元）,从业人数,法人手机号,财务人员姓名,财务人员手机号,2017Q1发票核定数量,2017Q1开票数,2017Q1开票金额,2017Q1开票税率,2017Q1开票税额,2017Q1入库税额,2017Q1进项金额,2017Q1进项税率,2017Q2发票核定数量,2017Q2开票数,2017Q2开票金额,2017Q2开票税率,2017Q2开票税额,2017Q2入库税额,2017Q2进项金额,2017Q2进项税率,2017Q3发票核定数量,2017Q3开票数,2017Q3开票金额,2017Q3开票税率,2017Q3开票税额,2017Q3入库税额,2017Q3进项金额,2017Q3进项税率,2017Q4发票核定数量,2017Q4开票数,2017Q4开票金额,2017Q4开票税率,2017Q4开票税额,2017Q4入库税额,2017Q4进项金额,2017Q4进项税率,2018Q1发票核定数量,2018Q1开票数,2018Q1开票金额,2018Q1开票税率,2018Q1开票税额,2018Q1入库税额,2018Q1进项金额,2018Q1进项税率,2018Q2发票核定数量,2018Q2开票数,2018Q2开票金额,2018Q2开票税率,2018Q2开票税额,2018Q2入库税额,2018Q2进项金额,2018Q2进项税率,2018Q3发票核定数量,2018Q3开票数,2018Q3开票金额,2018Q3开票税率,2018Q3开票税额,2018Q3入库税额,2018Q3进项金额,2018Q3进项税率,2018Q4发票核定数量,2018Q4开票数,2018Q4开票金额,2018Q4开票税率,2018Q4开票税额,2018Q4入库税额,2018Q4进项金额,2018Q4进项税率,2019Q1发票核定数量,2019Q1开票数,2019Q1开票金额,2019Q1开票税率,2019Q1开票税额,2019Q1入库税额,2019Q1进项金额,2019Q1进项税率,2019Q2发票核定数量,2019Q2开票数,2019Q2开票金额,2019Q2开票税率,2019Q2开票税额,2019Q2入库税额,2019Q2进项金额,2019Q2进项税率,2019Q3发票核定数量,2019Q3开票数,2019Q3开票金额,2019Q3开票税率,2019Q3开票税额,2019Q3入库税额,2019Q3进项金额,2019Q3进项税率,2019Q4发票核定数量,2019Q4开票数,2019Q4开票金额,2019Q4开票税率,2019Q4开票税额,2019Q4入库税额,2019Q4进项金额,2019Q4进项税率,异常
c7e1249ffc03eb9ded908c236bd1996d,芜湖市快讯务师事务所有限责任公司,租赁和商务服务业,商务服务业,咨询与调查,会计、审计及税务服务,芜湖市镜湖区文化路39-2号海螺商务楼北楼4-5层,芜湖市镜湖区文化路39-2号海螺商务楼北楼4-5层,杨宠怀,2018/8/20 0:00,芜湖市镜湖区滨江公共服务中心,税务代理、咨询服务。,300000,15,54eba6f646d394796b1773da7e8b56f4,袁秀珍,f239ac1d2808e5112c4c0559d383ca5a,52,43,4262977.49,0.17,724706.17,32.66,38751641.3,0.11,155,87,8651970.64,0.06,519118.24,91.21,144174175.8,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,96,9561324.6,0.06,573679.48,24.67,56242232.33,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,38,3748140.37,0.06,224888.42,50.73,34069811.14,0.11,1
2a38a4a9316c49e5a833517c45d31070,芜湖市联软饰工程有限公司,建筑业,建筑装饰和其他建筑业,建筑装饰业,建筑装饰业,芜湖市镜湖区镜湖万达广场3#楼1501,芜湖市镜湖区镜湖万达广场3#楼1501,汤咸兵,2018/2/16 0:00,芜湖市镜湖区滨江公共服务中心,室内外装饰工程设计、施工（涉及资质的凭资质证经营），装潢材料批发、零售。,300000,4,ba5d4dc6a7e74baf4fa6f29e4716175a,冯秀云,678df27c4f66880f500653edf9517f57,107,90,8947486.52,0.06,536849.19,71.04,52629815.57,0.17,90,48,4705485.61,0.17,799932.55,75.91,78403672.86,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,38,3776595.3,0.17,642021.2,68.12,62924331.58,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,63,6206425.15,0.11,682706.77,83.35,103417266.2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38b3eff8baf56627478ec76a704e9b52,芜湖市戴硕电子药包装材料有限公司,批发和零售业,批发业,医药及医疗器材批发,医疗用品及器材批发,铁佛花园A栋12BA室,铁佛花园A栋12BA室,宋宇,2017/12/7 0:00,芜湖市镜湖区滨江公共服务中心,批发医药包装材料、化工产品（不含化学危险品）。,500000,5,b36eb0221482295c734050401337431e,陈志强,defa060d4fb006850e99c78f3a62d420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,32,3163504.55,0.06,189810.27,76.2,52703908.91,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,44,4348842.49,0.06,260930.55,41.73,25579982.58,0.17,0,0,0,0,0,0,0,0,127,84,8395134.4,0.03,251854.03,67.1,76313858.56,0.11,110,76,7575989.03,0.03,227279.67,10.27,126263630.4,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ec8956637a99787bd197eacd77acce5e,芜湖市诺依曼软件有限责任公司,制造业,金属制品业,其他金属制品制造,其他未列明金属制品制造,镜湖区棠梅村,镜湖区棠梅村,程和生,2017/8/25 0:00,芜湖市镜湖区大砻坊公共服务中心,生铁铸件铸造、金属件精加工。,1000000,30,9f69e5a1c56ad6582af663342cc6818f,黄春梅,cd85104296be93021b7d37dda20b9559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,63,6298344.96,0.17,1070718.64,81.79,104949696.7,0.06,0,0,0,0,0,0,0,0,84,59,5862152.82,0.11,644836.81,36.62,53289272.17,0.11,131,86,8580745.09,0.11,943881.96,22.74,50474184.29,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6974ce5ac660610b44d9b9fed0ff9548,芜湖市时空盒数字资担保有限公司,金融业,货币金融服务,非货币银行服务,其他非货币银行服务,芜湖市吉和街吉祥新村2－16号,芜湖市吉和街吉祥新村2－16号,王宝娣,2017/10/2 0:00,芜湖市镜湖区滨江公共服务中心,房屋、汽车、船舶置换，贷款担保，项目投资。,12000000,5,793c89f5bf3b7fcf850ed84c75357c82,刘玉,4e4ff25cd17cb0221f031703dc896618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,62,6107604.26,0.11,671836.47,99.33,101765813.2,0.06,96,68,6733798.79,0.06,404027.93,67.88,112211123.7,0.06,0,0,0,0,0,0,0,0,128,69,6874636.25,0.11,756209.99,64.86,62491332.76,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,3449640.42,0.17,586438.87,70.69,31354524.97,0.11,0,0,0,0,0,0,0,0,1
c9e1074f5b3f9fc8ea15d152add07294,芜湖市南康服饰股份有限公司芜湖万达分公司,批发和零售业,零售业,纺织、服装及日用品专门零售,服装零售,芜湖市镜湖区赭山东路１号万达广场室内步行街二层０２－０７／０８号商铺,芜湖市镜湖区赭山东路1号万达广场室内步行街二层02-07/08号商铺,蔡康礼,2017/1/12 0:00,芜湖市镜湖区赭麓公共服务中心,销售上海拉夏贝尔服饰股份有限公司经营范围内的服装、服饰、鞋帽、皮革、箱包、面料、辅料、针织纺织、钟表眼镜（除角膜接触镜及护理液）（上述经营范围涉及国家限制类、禁止类项目除外，涉及专项许可的凭许可证经营）。,500000,10,5b5969348ac18da8ca804f8a61d551a3,米桂荣,6bbcd9235bf5da7864dc03aced2ee03c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,90,8923895.14,0.03,267716.85,60.96,52491391.61,0.17,141,79,7840686.03,0.03,235220.58,28.16,71276636.99,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,31,3052085.74,0.11,335729.43,62.36,27741079.93,0.11,0,0,0,0,0,0,0,0,1
65b9eea6e1cc6bb9f0cd2a47751a186f,芜湖市菊风公司企业理财咨询服务有限公司,租赁和商务服务业,商务服务业,咨询与调查,社会经济咨询,芜湖市镜湖区源丰装饰城A5-9#,芜湖市镜湖区源丰装饰城A5-9#,姜傲枝,2018/10/30 0:00,芜湖市镜湖区汀棠公共服务中心,理财信息咨询（证券、期货咨询除外）。,100000,5,69d726df9ba376c8461d185ada49ab8e,董鑫,0e8c37a0797cdb5f45bcc13b4da6d5a0,51,56,5507298.91,0.06,330437.93,90.08,50058909.01,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,79,7800042.67,0.03,234001.28,11.76,70908506.65,0.11,0,0,0,0,0,0,0,0,1
f0935e4cd5920aa6c7c996a5ee53a70f,芜湖市网新恒天管理有限公司,房地产业,房地产业,物业管理,物业管理,芜湖市民生路26号,芜湖市民生路26号,李卫平,2018/8/18 0:00,芜湖市镜湖区滨江公共服务中心,物业管理（凭资质经营），房地产经纪与代理。,500000,8,e379bc907b884555fadadca0143b40eb,李红,de1477e10cab0800a15c198123d21c08,0,0,0,0,0,0,0,0,114,99,9854585.44,0.06,591275.13,13.78,57967672.72,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5fd0b37cd7dbbb00f97ba6ce92bf5add,芜湖市东方峻景投资有限公司,批发和零售业,批发业,纺织、服装及家庭用品批发,服装批发,芜湖市镜湖区星光灿烂大剧院04号门面,芜湖市镜湖区星光灿烂大剧院04号门面,陈钢,2018/12/17 0:00,芜湖市镜湖区滨江公共服务中心,商业投资（涉及前置许可的除外），自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外），百货、皮革、针织类及原料、皮具箱包、服装、饰品、化妆品、眼镜、香水、塑胶制品批发兼零售。,5000000,10,4d2ba28a2ab2ef2c747865c52b499926,白淑兰,2bdfa479a08300e68e2ca5ff23301b24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,83,8280268.14,0.03,248408.04,87.26,137980230.5,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2b44928ae11fb9384c4cf38708677c48,芜湖市国讯工程有限公司,建筑业,建筑装饰和其他建筑业,建筑装饰业,建筑装饰业,芜湖市镜湖区润安花园21幢602号,芜湖市镜湖区润安花园21幢602号,王强,2017/7/23 0:00,芜湖市镜湖区滨江公共服务中心,建筑装饰工程、建筑幕墙工程、金属门窗工程、钢结构工程、建筑智能化工程的设计与施工（涉及资质的凭资质证经营）。,10000000,30,7f5b888de5c505ec7719642e10694bb5,汤娜,377c000c50ef8b6a69aa788a3cada71a,0,0,0,0,0,0,0,0,58,52,5185444.71,0.11,570398.92,32.77,30501482.06,0.17,62,56,5577646.49,0.06,334658.79,38.66,50702681.97,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,84,8379132.37,0.17,1424452.5,7.93,49288739.51,0.17,88,73,7200430.73,0.11,792047.38,21.2,42354741.38,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
