ZJNSRSBH,YC
纳税人识别号,异常标识
215c2b169424bb37b9c2fae439b79d8c,1
e9986bfcabb447dcf1d45d97fc1d6e4c,1
94afa77ff74db48a187360be673a6784,0
c7886653d690da07278797c4ca8a719e,0
8defea84156a239e24dd5e1b9c2fafe0,0
a9672dcfc6696d79873dde47f4a20b44,0
c49f9d1fafcbd5f524386b1837919db8,0
2063c45321bfb1553af64a623d9b1cbf,0
b1a5d125e041e8c94419ca268e6a04eb,0
e9a5a2a5d9be9b2ce4f45c3fa8a74773,1
2d9d455b897cec4b59db82a303ec30eb,0
e810163cb23d620a9931bb5a7bda0a86,1
b143c32e36a1977a59cd98f6e11f8f0b,0
d6e61c39013627b7943396a2325386ac,0
7e2b10ef130f6e807d468ab24182326e,1
328dbc21dddb4c3a10f2d16a2fa5133c,0
c3c3a3faeaacf4cd419c4a07e4dc6196,0
693a8449e9ad958c21b5136cc9c99c40,0
d7020369017818dc86483a03176cdc9f,0
386a1c1b38314ac0a235a34e662434d5,0
b582446fbc665c714f9e217f0f80656a,0
1ea1dc4ddcab7dc27e0c796068abab1f,0
c99d3c3cbf2b89de64f81d2f88fab5d7,0
000311511198be28206739ecdeccb4c6,0
c01feabf46831a9213b56cd0eacae5e6,0
5e3144df8ce038257e8d79d435eaf2c7,0
6cf9844bdbb64470202de4169f23ed6c,0
5decb5bf2f0dedcbfec54a2384b4a2c8,0
ee36cdd1ec2912766774b2ed9c991886,0
503be9a4c7a2827db394ba61d1f38dd5,0
8c4e9ba4750a65c897248289622452f0,1
ad35d1979dc30971411003adff944411,0
d2e7535971cdf5a2f7e550dfed05d294,0
d216328fabc76e63aa6a6d1816d4c7e5,1
2cc4a9b883924bb167ff0c7d4b57d76c,1
b232f6a144b4efe5298e422443b68bf8,0
928302c4d72d7b6e72a090790dd6669b,0
5fcc5d4182072550c6a6d4e60617e29b,0
b6b9866efda992d531d09b8e4906dfbc,0
4d30d436eab939a636c7b3eb1b2965a0,0
6aca3b65c7135b8e014e21ce076f6dd9,0
74a276bf50bc190181663df96f4dfe10,0
217fffb335a7ecaf24b227ec8b58fa8f,0
6cf2be6187e2880b0f9165f7d7a50313,0
302fa785459fefb6b827f96e6b8ff717,0
a53659b2f363a76debba6647330f9cdf,0
504ea4df996b38fd1ed7b3537a0989f7,0
c4c5faf42637fc2e81389c0eb4f91e30,0
47b1cac6a70e2ebccacacb6f02a6543c,1
e998a9ee7d5e921f3e171d0127c698a2,0
ed1f0cb598f11d733d48ba3cc7b9345c,0
dcc2f97ce25e1f0c264869fc54670758,0
bd074fda0b972f741e4f0625ac6bf01d,0
ccde5ba46a6b676e9d7cf07da7f6f031,0
5003208b2a57c6126d72446a8f40feef,0
c9e80ff544ff795c66f0f0e15ed162e7,0
627a25a4e16bcb91959b1eb0200d49a2,0
b883c47cca58273613dd260b40658766,0
45704d95f029cfeb8e590c8e9e517917,0
b557ae34f09cbbe5ec5c272cc227abfa,1
fdecff7198bed4b39381ccd4754af7b1,0
b2f409c10fb3cc0234ecffcd59e61bf7,0
a0094f28eea3b46b5b4bd6e0c9339255,0
032d4c11498a5753fe26dcd2fcdb8d57,0
c77fe6a8af81c717d6f22c80855d8930,0
e837d354401e1a4347b8c8b4e1ed91f2,0
0779d264272cb293bf6502b026c0b746,0
3681534ddc940d41100f0f8acf2d7d16,0
2d5d12ca16edaa8d97e55df4b4627143,0
cd44d396812402d5bcc18e78553ef0cb,0
fd56cdbb4857dec1d845d239a2194721,0
cd808e518a5f6e89003794975adcee2e,0
c338897ae12bb4555e496c8f1a392e6a,0
23f814dac7058f361b1e715275028106,0
e0253cc827480be12a1b3ebc41872654,0
a7f18e704e96fd109f418293fbe10a1f,0
8670f262c71111896c274ce30846ee64,0
4ea2596617c45ee99a443f641cc0b657,0
f8dc26b7251bf1d1f9fd0142337301e8,0
56ae0bc44e8cdc1a356a0573ffb07887,0
eb432d5f83baa400cb9c80b0e8c8a9da,1
efa52ce269ece2063db9231405f7d511,1
f172a987afb21492810d9916f7d45b9d,0
a6828fccda230b4ad18efcc2d9102b26,0
45950554d798ebdd3143783f74daa1a9,0
4424f47aa6f202912055e0fb82a56235,0
2b20e7cb5fef4b648e6214cf38f4bae4,0
6eb5d7988355030b74d42825997305d0,0
13fe4260b580a547e76439220e5cbf2f,0
9de166fe9c4f9779ca0399b35eda0740,0
7c3a62b920ce5a2f5a553ac556e072fc,0
662b1467346b41c1fb2d9f0e308ffca1,1
8a2885794ad928bc9ad15c2bc8bcef2b,0
2ace03681e7c847af53e727844876392,0
c223ecdf1c070c4c8191776f9681ae69,0
ec23c91abf096931caf1dad37e53b6ca,0
6aa5ac5879494b3e12b3b035eedaa90a,0
8d189fa43cccedcdf966b4e0435e192d,0
86e1fd5b3984dd9dd4adaf590d52ef6d,0
613e75631915a9d8851d8603369d0516,0
b548ab22ed27d15ea0b57a6e18e3035b,0
a9374c38b777fc3185abf16da1c94e3f,1
8f3a54739b83c35cf5812286f44f8ed9,0
112985fa5494cb72ad834e836a831ff0,0
0ab145bc1fef009c1475ee7853b979dc,0
3ee9714ad7e200db35430d3b73cc3a49,0
f7e4410f8e5026f283e824739b09477d,0
8b0e203a2072343a259ace8007d0a0d1,0
d8c67f699638272fd683366a102e5c87,0
b787aede6704ac99d14e65c678de21d4,0
1c166fd6f2a39b9d96557963e4e88ace,0
b471921dfbcc381923d79418bfe8ac60,1
a41e21a5abae7a42b078e2b27d8b5bf8,0
6159bf270878fb4653b56dda4384caf6,0
f74dfc23c98e5ea0ffa713fe8e0b4f6e,1
2516ce508938b8b6cd3b1828ed3e2010,0
10978ccba846b58fc76742ab32b8c197,0
3b4775920395edbc515644cd880ba154,0
d7d78e350fd80c0c9bfc60cf1cf6611d,0
834ac296e741f9ad838eb5a620cbe204,0
eb5d45a4e2c2cf15c6da874c0164d812,0
452884e66cd0ac0a3aaba7a1798cb376,0
d5de9a6003ae3aebf32de8d019da1fe6,0
9b9b1cac8542a499358b352f1d5a4890,1
9032a8b51d16a54d36f0eb918dea7b47,0
515ffe160fa462374e5805687a4aa3b1,0
7aa9267e4e5c8f15e56ba6d2c40bb478,0
4d27112014b36ed8dee8d9258548ac23,1
e54d859393e47ffb65db8e844587667a,1
f1b61b8541f85be105f6b95fdf11727e,0
58e34d580f4eae9956e55ca3b7a71c51,0
01e8a475df9b58e57a31c26bb3a50457,0
1075440e047f83c2b4309fa9b9d9e2eb,1
3c7ae70fa99d80f1b478aabb9bcf4d68,0
7044159640d7145193236212828ffaff,0
66916b8e639b4271745977ad53d0267c,0
df5762dc0aca4bcc9064cc18b9cfdfb4,0
